Indicator_data,case_id,First Tooltip
Life expectancy at birth (years),"Croatia,2015,Female",80.73
Life expectancy at birth (years),"Croatia,2010,Both sexes",76.72
Life expectancy at birth (years),"Croatia,2010,Male",73.41
Life expectancy at birth (years),"Croatia,2010,Female",79.91
Life expectancy at birth (years),"Croatia,2000,Both sexes",74.36
Life expectancy at birth (years),"Croatia,2000,Male",70.74
Life expectancy at birth (years),"Croatia,2000,Female",77.88
Life expectancy at birth (years),"Cuba,2015,Both sexes",77.91
Life expectancy at birth (years),"Cuba,2015,Male",75.7
Life expectancy at birth (years),"Cuba,2015,Female",80.19
Life expectancy at birth (years),"Cuba,2010,Both sexes",77.65
Life expectancy at birth (years),"Cuba,2010,Male",75.55
Life expectancy at birth (years),"Cuba,2010,Female",79.82
Life expectancy at birth (years),"Cuba,2000,Both sexes",76.76
Life expectancy at birth (years),"Cuba,2000,Male",74.59
Life expectancy at birth (years),"Cuba,2000,Female",79.04
Life expectancy at birth (years),"Cyprus,2015,Both sexes",82.01
Life expectancy at birth (years),"Cyprus,2015,Male",79.89
Life expectancy at birth (years),"Cyprus,2015,Female",84.12
Life expectancy at birth (years),"Cyprus,2010,Both sexes",81.02
Life expectancy at birth (years),"Cyprus,2010,Male",78.93
Life expectancy at birth (years),"Cyprus,2010,Female",83.1
Life expectancy at birth (years),"Cyprus,2000,Both sexes",78.75
Life expectancy at birth (years),"Cyprus,2000,Male",76.53
Life expectancy at birth (years),"Cyprus,2000,Female",80.99
Life expectancy at birth (years),"Czechia,2015,Both sexes",78.46
Life expectancy at birth (years),"Czechia,2015,Male",75.57
Life expectancy at birth (years),"Czechia,2015,Female",81.3
Life expectancy at birth (years),"Czechia,2010,Both sexes",77.56
Life expectancy at birth (years),"Czechia,2010,Male",74.41
Life expectancy at birth (years),"Czechia,2010,Female",80.65
Life expectancy at birth (years),"Czechia,2000,Both sexes",74.95
Life expectancy at birth (years),"Czechia,2000,Male",71.53
Life expectancy at birth (years),"Czechia,2000,Female",78.29
Life expectancy at birth (years),"Democratic People's Republic of Korea,2015,Both sexes",71.76
Life expectancy at birth (years),"Democratic People's Republic of Korea,2015,Male",68.42
Life expectancy at birth (years),"Democratic People's Republic of Korea,2015,Female",74.78
Life expectancy at birth (years),"Democratic People's Republic of Korea,2010,Both sexes",70.18
Life expectancy at birth (years),"Democratic People's Republic of Korea,2010,Male",66.93
Life expectancy at birth (years),"Democratic People's Republic of Korea,2010,Female",73.09
Life expectancy at birth (years),"Democratic People's Republic of Korea,2000,Both sexes",63.95
Life expectancy at birth (years),"Democratic People's Republic of Korea,2000,Male",60.79
Life expectancy at birth (years),"Democratic People's Republic of Korea,2000,Female",66.84
Life expectancy at birth (years),"Democratic Republic of the Congo,2015,Both sexes",60.44
Life expectancy at birth (years),"Democratic Republic of the Congo,2015,Male",58.25
Life expectancy at birth (years),"Democratic Republic of the Congo,2015,Female",62.73
Life expectancy at birth (years),"Democratic Republic of the Congo,2010,Both sexes",57.51
Life expectancy at birth (years),"Democratic Republic of the Congo,2010,Male",55.65
Life expectancy at birth (years),"Democratic Republic of the Congo,2010,Female",59.42
Life expectancy at birth (years),"Democratic Republic of the Congo,2000,Both sexes",52.44
Life expectancy at birth (years),"Democratic Republic of the Congo,2000,Male",50.46
Life expectancy at birth (years),"Democratic Republic of the Congo,2000,Female",54.49
Life expectancy at birth (years),"Denmark,2015,Both sexes",80.59
Life expectancy at birth (years),"Denmark,2015,Male",78.8
Life expectancy at birth (years),"Denmark,2015,Female",82.35
Life expectancy at birth (years),"Denmark,2010,Both sexes",79.17
Life expectancy at birth (years),"Denmark,2010,Male",77.2
